configuration,time,traces,unique_traces,violations,unique_violations,unique_violating_traces
tracemop,240406,28817066,929,3,1,0
valgt,132616,896243,935,3,1,0
lazymop,124621,28817066,925,0,0,2
valgl,112120,743135,923,0,0,2
