configuration,time,traces,unique_traces,violations,unique_violations,unique_violating_traces
tracemop,521526,,0,0,0,0
valgt,316997,59097,287,0,0,0
lazymop,144224,40366507,1548,0,0,0
valgl,171342,59339,286,0,0,0
