configuration,time,traces,unique_traces,violations,unique_violations,unique_violating_traces
tracemop,207596,320566,2348,4776,7,0
valgt,195173,13217,2200,283,7,0
lazymop,93146,325254,2343,0,0,7
valgl,98759,12456,2264,0,0,7
